collection_date,sticker,companyName,date,revenue,cost_of_revenue,gross_profit,operating_expences_sales_general_administrative,other_operating_expenses,total_operating_expenses,operating_income,interest_expense,other_income_expense,income_before_income_taxes,provision_for_income_taxes,minority_interest,other_income,net_income_from_continuing_operations,net_income_from_discontinuing_operations,net_income_from_discontinuing_operations2,net_income_from_discontinuing_operations3,other,net_income,net_income_available_to_common_shareholders,earnings_per_share_basic,earnings_per_share_diluted,weighted_average_shares_outstanding_basic,weighted_average_shares_outstanding_diluted,ebitda,commision_and_fees,compensation_and_benefits,cummulative_effect_of_accounting_changes,depreciation_and_amortisation,extraordinary_items,income_from_cont_operations_before_taxes,income_tax_expense_benefit,interest_income,investment_income_net,merger_acquisition_and_restructuring,net_interest_income,nonrecurring_expense,operating_expenses,policyholder_benefits_and_claims_incurred,other_distributions,other_expense,other_expenses,other_special_charges,policyholder_benefits_and_claims_incurred,preferred_distributions,preferred_dividend,premiums,provision_benefit_for_taxes,realised_capital_gains_net,research_and_development,restructuring_merger_and_acquisition,securities_gains,tech_communication_and_equipment,total_benefits_claims_expenses,total_costs_and_expenses,total_expenses,total_interest_expense,total_interest_income,total_net_revenue,total_noninterest_expenses,total_noninterest_revenue,total_nonoperating_income_net,total_revenues
20180209,ANEMOS,ELTECH ANEMOS S.A. (CR),2014-12-01 00:00:00,32.0,17.0,14.0,,3.0,3.0,11.0,8.0,3.0,7.0,2.0,,,5.0,,,,-0.0,4.0,4.0,0.06,0.06,72.0,72.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20180209,ANEMOS,ELTECH ANEMOS S.A. (CR),2015-12-01 00:00:00,40.0,19.0,22.0,,4.0,4.0,18.0,7.0,2.0,12.0,5.0,,,7.0,,,,-0.0,7.0,7.0,0.08,0.08,83.0,83.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20180209,ANEMOS,ELTECH ANEMOS S.A. (CR),2016-12-01 00:00:00,45.0,22.0,23.0,,4.0,4.0,19.0,7.0,3.0,15.0,5.0,,,10.0,,,,-0.0,10.0,10.0,0.12,0.12,83.0,83.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20180209,ANEMOS,ELTECH ANEMOS S.A. (CR),2017-12-01 00:00:00,48.0,24.0,23.0,,4.0,4.0,20.0,9.0,3.0,14.0,4.0,,,9.0,,,,-0.0,9.0,9.0,0.11,0.11,83.0,83.0,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20180209,ANEP,"ANEK LINES SA (PR, issue '90)",2012-12-01 00:00:00,200.0,177.0,22.0,28.0,4.0,32.0,-10.0,,-50.0,-60.0,0.0,,,-61.0,,,,-0.0,-61.0,-61.0,-0.32,-0.32,189.0,189.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20180209,ANEP,"ANEK LINES SA (PR, issue '90)",2013-12-01 00:00:00,178.0,155.0,23.0,27.0,36.0,63.0,-39.0,,3.0,-36.0,0.0,,,-37.0,,,,1.0,-36.0,-36.0,-0.19,-0.19,189.0,189.0,-25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20180209,ANEP,"ANEK LINES SA (PR, issue '90)",2014-12-01 00:00:00,169.0,144.0,26.0,25.0,24.0,49.0,-23.0,,4.0,-19.0,0.0,,,-19.0,,,,1.0,-18.0,-18.0,-0.09,-0.09,189.0,189.0,-8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20180209,ANEP,"ANEK LINES SA (PR, issue '90)",2015-12-01 00:00:00,160.0,117.0,43.0,23.0,19.0,42.0,0.0,15.0,15.0,1.0,1.0,,,0.0,,,,0.0,1.0,1.0,0.0,0.0,189.0,189.0,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20180209,ANEP,"ANEK LINES SA (PR, issue '90)",2016-12-01 00:00:00,158.0,117.0,41.0,23.0,4.0,27.0,14.0,12.0,0.0,2.0,1.0,,,1.0,,,,-1.0,1.0,1.0,0.0,0.0,189.0,189.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20180209,ANEP,"ANEK LINES SA (PR, issue '90)",2017-12-01 00:00:00,158.0,128.0,30.0,23.0,4.0,28.0,2.0,8.0,19.0,13.0,1.0,,,12.0,,,,-1.0,12.0,12.0,0.06,0.06,189.0,189.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20180209,ANEPO,"ANEK LINES SA (PR, issue '96)",2012-12-01 00:00:00,200.0,177.0,22.0,28.0,4.0,32.0,-10.0,,-50.0,-60.0,0.0,,,-61.0,,,,-0.0,-61.0,-61.0,-0.32,-0.32,189.0,189.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20180209,ANEPO,"ANEK LINES SA (PR, issue '96)",2013-12-01 00:00:00,178.0,155.0,23.0,27.0,36.0,63.0,-39.0,,3.0,-36.0,0.0,,,-37.0,,,,1.0,-36.0,-36.0,-0.19,-0.19,189.0,189.0,-25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20180209,ANEPO,"ANEK LINES SA (PR, issue '96)",2014-12-01 00:00:00,169.0,144.0,26.0,25.0,24.0,49.0,-23.0,,4.0,-19.0,0.0,,,-19.0,,,,1.0,-18.0,-18.0,-0.09,-0.09,189.0,189.0,-8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20180209,ANEPO,"ANEK LINES SA (PR, issue '96)",2015-12-01 00:00:00,160.0,117.0,43.0,23.0,19.0,42.0,0.0,15.0,15.0,1.0,1.0,,,0.0,,,,0.0,1.0,1.0,0.0,0.0,189.0,189.0,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20180209,ANEPO,"ANEK LINES SA (PR, issue '96)",2016-12-01 00:00:00,158.0,117.0,41.0,23.0,4.0,27.0,14.0,12.0,0.0,2.0,1.0,,,1.0,,,,-1.0,1.0,1.0,0.0,0.0,189.0,189.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
